datetime,open,high,low,close,volume
2026-06-01 05:00:00,8.949,8.954,8.874,8.89,34990.8
2026-06-01 06:00:00,8.89,8.903,8.815,8.846,52786.56
2026-06-01 07:00:00,8.846,8.868,8.78,8.792,68167.05
2026-06-01 08:00:00,8.793,8.844,8.761,8.838,72930.06
2026-06-01 09:00:00,8.839,8.893,8.838,8.864,118098.19
2026-06-01 10:00:00,8.865,8.875,8.834,8.863,36629.8
2026-06-01 11:00:00,8.864,8.882,8.805,8.832,38046.43
2026-06-01 12:00:00,8.833,8.878,8.768,8.834,82267.82
2026-06-01 13:00:00,8.834,8.846,8.722,8.783,182729.71
2026-06-01 14:00:00,8.784,8.811,8.711,8.752,139200.38
2026-06-01 15:00:00,8.753,8.778,8.677,8.732,87198.46
2026-06-01 16:00:00,8.731,8.885,8.686,8.876,135638.58
2026-06-01 17:00:00,8.876,8.954,8.856,8.924,117404.19
2026-06-01 18:00:00,8.923,8.947,8.889,8.895,62882.35
2026-06-01 19:00:00,8.895,8.969,8.876,8.959,54305.85
2026-06-01 20:00:00,8.959,8.986,8.911,8.938,66558.91
2026-06-01 21:00:00,8.939,8.943,8.862,8.881,53241.38
2026-06-01 22:00:00,8.881,8.932,8.83,8.929,81665.12
2026-06-01 23:00:00,8.929,8.96,8.897,8.936,57165.93
2026-06-02 00:00:00,8.936,8.944,8.869,8.883,23707.96
2026-06-02 01:00:00,8.884,8.897,8.772,8.777,57669.81
2026-06-02 02:00:00,8.776,8.86,8.675,8.86,103917.78
2026-06-02 03:00:00,8.86,8.895,8.829,8.884,40078.31
2026-06-02 04:00:00,8.884,8.895,8.803,8.811,51721.49
2026-06-02 05:00:00,8.81,8.837,8.736,8.74,88136.34
2026-06-02 06:00:00,8.739,8.761,8.663,8.715,123509.01
2026-06-02 07:00:00,8.716,8.753,8.67,8.717,146074.64
2026-06-02 08:00:00,8.718,8.741,8.696,8.708,37561.09
2026-06-02 09:00:00,8.709,8.718,8.66,8.685,77493.75
2026-06-02 10:00:00,8.685,8.744,8.661,8.741,37143.58
2026-06-02 11:00:00,8.74,8.74,8.672,8.683,35415.42
2026-06-02 12:00:00,8.683,8.722,8.659,8.699,81119.52
2026-06-02 13:00:00,8.7,8.72,8.678,8.694,61635.79
2026-06-02 14:00:00,8.694,8.697,8.4,8.46,333420.28
2026-06-02 15:00:00,8.461,8.479,8.273,8.366,286018.64
2026-06-02 16:00:00,8.366,8.509,8.328,8.411,127128.04
2026-06-02 17:00:00,8.412,8.494,8.41,8.452,61504.73
2026-06-02 18:00:00,8.452,8.48,8.316,8.35,73945.35
2026-06-02 19:00:00,8.35,8.374,8.176,8.332,192855.15
2026-06-02 20:00:00,8.333,8.388,8.267,8.335,97573.47
2026-06-02 21:00:00,8.336,8.391,8.297,8.331,73052.8
2026-06-02 22:00:00,8.331,8.331,8.093,8.127,289177.02
2026-06-02 23:00:00,8.128,8.185,8.029,8.18,214851.49
2026-06-03 00:00:00,8.181,8.249,8.158,8.216,94438.15
2026-06-03 01:00:00,8.217,8.266,8.191,8.242,55958.35
2026-06-03 02:00:00,8.242,8.242,8.157,8.184,65540.8
2026-06-03 03:00:00,8.184,8.206,7.993,8.052,142668.62
2026-06-03 04:00:00,8.051,8.187,8.051,8.17,76277.49
2026-06-03 05:00:00,8.171,8.316,8.171,8.287,325431.19
2026-06-03 06:00:00,8.286,8.327,8.263,8.27,249804.42
2026-06-03 07:00:00,8.27,8.345,8.258,8.321,108905.06
2026-06-03 08:00:00,8.32,8.338,8.288,8.31,87010.15
2026-06-03 09:00:00,8.309,8.327,8.244,8.281,123902.98
2026-06-03 10:00:00,8.282,8.361,8.277,8.355,99766.44
2026-06-03 11:00:00,8.355,8.372,8.277,8.302,110458.54
2026-06-03 12:00:00,8.302,8.309,8.24,8.306,106075.02
2026-06-03 13:00:00,8.307,8.346,8.256,8.313,147898.07
2026-06-03 14:00:00,8.313,8.32,8.226,8.275,140199.86
2026-06-03 15:00:00,8.276,8.285,8.179,8.191,144322.69
2026-06-03 16:00:00,8.192,8.198,8.029,8.123,226529.48
2026-06-03 17:00:00,8.124,8.192,8.069,8.14,117197.91
2026-06-03 18:00:00,8.141,8.189,8.077,8.185,146714.29
2026-06-03 19:00:00,8.185,8.194,8.03,8.044,228249.39
2026-06-03 20:00:00,8.043,8.096,7.909,7.958,296470.15
2026-06-03 21:00:00,7.957,8.179,7.928,8.173,159174.9
2026-06-03 22:00:00,8.173,8.191,8.079,8.107,161775.33
2026-06-03 23:00:00,8.107,8.115,8.037,8.049,130879.47
2026-06-04 00:00:00,8.048,8.117,7.93,7.989,248202.46
2026-06-04 01:00:00,7.989,8.024,7.744,7.765,477339.26
2026-06-04 02:00:00,7.766,7.889,7.519,7.841,762254.92
2026-06-04 03:00:00,7.842,8.064,7.841,8.035,222606.64
2026-06-04 04:00:00,8.036,8.077,7.974,7.987,80274.4
2026-06-04 05:00:00,7.986,7.986,7.859,7.898,148336.21
2026-06-04 06:00:00,7.897,8.001,7.884,7.929,106186.9
2026-06-04 07:00:00,7.93,7.939,7.819,7.824,144788.92
2026-06-04 08:00:00,7.825,7.85,7.74,7.801,154729.84
2026-06-04 09:00:00,7.801,7.804,7.601,7.719,252015.1
2026-06-04 10:00:00,7.719,7.721,7.544,7.575,449676.83
2026-06-04 11:00:00,7.575,7.68,7.543,7.663,242934.8
2026-06-04 12:00:00,7.663,7.826,7.616,7.804,188175.03
2026-06-04 13:00:00,7.804,7.828,7.679,7.788,201620.69
2026-06-04 14:00:00,7.789,7.808,7.727,7.771,182026.92
2026-06-04 15:00:00,7.77,7.858,7.75,7.762,119462.67
2026-06-04 16:00:00,7.764,7.798,7.707,7.759,90756.91
2026-06-04 17:00:00,7.758,7.796,7.672,7.753,121533.68
2026-06-04 18:00:00,7.754,7.842,7.69,7.81,89317.61
2026-06-04 19:00:00,7.809,7.847,7.764,7.78,80536.85
2026-06-04 20:00:00,7.779,7.781,7.704,7.74,69656.22
2026-06-04 21:00:00,7.739,7.764,7.567,7.596,150746.53
2026-06-04 22:00:00,7.596,7.679,7.575,7.672,145021.6
2026-06-04 23:00:00,7.671,7.712,7.616,7.707,110480.73
2026-06-05 00:00:00,7.706,7.724,7.632,7.637,109795.31
2026-06-05 01:00:00,7.637,7.682,7.564,7.647,160760.84
2026-06-05 02:00:00,7.647,7.651,7.418,7.434,270780.08
2026-06-05 03:00:00,7.435,7.502,7.313,7.317,251034.86
2026-06-05 04:00:00,7.318,7.487,7.293,7.482,243458.64
2026-06-05 05:00:00,7.482,7.509,7.252,7.263,289338.62
2026-06-05 06:00:00,7.263,7.283,7.005,7.181,564050.36
2026-06-05 07:00:00,7.18,7.319,7.056,7.305,336924.76
2026-06-05 08:00:00,7.306,7.307,7.124,7.158,167366.1
2026-06-05 09:00:00,7.159,7.283,7.158,7.254,170382.68
2026-06-05 10:00:00,7.255,7.269,7.137,7.158,119340.71
2026-06-05 11:00:00,7.157,7.159,7.063,7.077,191841.67
2026-06-05 12:00:00,7.076,7.13,7.016,7.086,215580.37
2026-06-05 13:00:00,7.087,7.223,6.968,6.974,293350.59
2026-06-05 14:00:00,6.974,7.127,6.891,7.077,379388.27
2026-06-05 15:00:00,7.077,7.092,6.851,6.904,405380.17
2026-06-05 16:00:00,6.903,7.081,6.79,7.062,561141.51
2026-06-05 17:00:00,7.062,7.109,6.982,7.021,162701.16
2026-06-05 18:00:00,7.022,7.066,6.808,6.826,210220.45
2026-06-05 19:00:00,6.825,6.83,6.584,6.7,562936.33
2026-06-05 20:00:00,6.697,6.98,6.613,6.908,422566.44
2026-06-05 21:00:00,6.907,7.01,6.889,6.957,111989.02
2026-06-05 22:00:00,6.956,6.959,6.769,6.807,185751.57
2026-06-05 23:00:00,6.808,6.854,6.634,6.729,187261.47
2026-06-06 00:00:00,6.73,6.909,6.728,6.899,111562.23
2026-06-06 01:00:00,6.9,6.933,6.726,6.744,91297.44
2026-06-06 02:00:00,6.743,6.75,6.653,6.658,89497.82
2026-06-06 03:00:00,6.657,6.657,6.515,6.526,161056.96
2026-06-06 04:00:00,6.526,6.552,6.224,6.307,503012.24
2026-06-06 05:00:00,6.306,6.584,6.256,6.582,222975.54
2026-06-06 06:00:00,6.583,6.689,6.543,6.546,103430.59
2026-06-06 07:00:00,6.547,6.716,6.523,6.676,139666.62
2026-06-06 08:00:00,6.677,6.759,6.634,6.746,135277.74
2026-06-06 09:00:00,6.746,6.838,6.701,6.713,146382.31
2026-06-06 10:00:00,6.714,6.714,6.571,6.62,183150.3
