datetime,open,high,low,close,volume
2026-06-20 07:50:00,6.14,6.158,6.135,6.137,15576.24
2026-06-20 07:55:00,6.137,6.148,6.137,6.148,6949.32
2026-06-20 08:00:00,6.149,6.15,6.117,6.13,30758.72
2026-06-20 08:05:00,6.129,6.129,6.098,6.111,13760.15
2026-06-20 08:10:00,6.111,6.148,6.11,6.145,11482.94
2026-06-20 08:15:00,6.145,6.157,6.126,6.142,18904.64
2026-06-20 08:20:00,6.142,6.146,6.113,6.126,13173.36
2026-06-20 08:25:00,6.126,6.142,6.119,6.127,19117.57
2026-06-20 08:30:00,6.127,6.142,6.127,6.133,13489.43
2026-06-20 08:35:00,6.132,6.14,6.12,6.132,19033.57
2026-06-20 08:40:00,6.133,6.148,6.133,6.143,9044.62
2026-06-20 08:45:00,6.143,6.143,6.131,6.14,6469.26
2026-06-20 08:50:00,6.139,6.163,6.136,6.162,25354.7
2026-06-20 08:55:00,6.162,6.177,6.153,6.163,12432.3
2026-06-20 09:00:00,6.163,6.2,6.163,6.19,18923.02
2026-06-20 09:05:00,6.19,6.201,6.18,6.192,23364.37
2026-06-20 09:10:00,6.192,6.211,6.192,6.205,12009.37
2026-06-20 09:15:00,6.205,6.21,6.185,6.188,9031.57
2026-06-20 09:20:00,6.188,6.192,6.176,6.176,12347.03
2026-06-20 09:25:00,6.175,6.185,6.166,6.17,10772.1
2026-06-20 09:30:00,6.169,6.185,6.167,6.185,9016.82
2026-06-20 09:35:00,6.184,6.195,6.171,6.176,9456.86
2026-06-20 09:40:00,6.177,6.181,6.169,6.175,10786.11
2026-06-20 09:45:00,6.176,6.183,6.171,6.174,6198.27
2026-06-20 09:50:00,6.174,6.192,6.174,6.189,6878.28
2026-06-20 09:55:00,6.189,6.189,6.181,6.188,6454.35
2026-06-20 10:00:00,6.188,6.191,6.174,6.186,10778.49
2026-06-20 10:05:00,6.185,6.194,6.181,6.194,6273.66
2026-06-20 10:10:00,6.194,6.198,6.188,6.195,8316.23
2026-06-20 10:15:00,6.195,6.211,6.195,6.206,10014.42
2026-06-20 10:20:00,6.205,6.207,6.194,6.196,6745.62
2026-06-20 10:25:00,6.196,6.196,6.176,6.195,13346.84
2026-06-20 10:30:00,6.195,6.199,6.192,6.195,7259.13
2026-06-20 10:35:00,6.194,6.195,6.18,6.183,9369.86
2026-06-20 10:40:00,6.183,6.185,6.167,6.183,41488.49
2026-06-20 10:45:00,6.184,6.21,6.182,6.208,13903.02
2026-06-20 10:50:00,6.207,6.216,6.201,6.207,17515.04
2026-06-20 10:55:00,6.207,6.216,6.199,6.214,6422.95
2026-06-20 11:00:00,6.214,6.221,6.21,6.211,7961.36
2026-06-20 11:05:00,6.21,6.21,6.163,6.163,10884.84
2026-06-20 11:10:00,6.163,6.163,6.141,6.159,24095.03
2026-06-20 11:15:00,6.158,6.163,6.144,6.16,11282.21
2026-06-20 11:20:00,6.159,6.178,6.158,6.174,8014.44
2026-06-20 11:25:00,6.174,6.175,6.165,6.17,5497.64
2026-06-20 11:30:00,6.171,6.173,6.162,6.163,11219.05
2026-06-20 11:35:00,6.164,6.179,6.164,6.174,7639.62
2026-06-20 11:40:00,6.174,6.174,6.159,6.167,7636.66
2026-06-20 11:45:00,6.167,6.179,6.166,6.166,8141.38
2026-06-20 11:50:00,6.165,6.178,6.153,6.153,6290.17
2026-06-20 11:55:00,6.153,6.163,6.146,6.162,8412.18
2026-06-20 12:00:00,6.163,6.165,6.157,6.16,4129.41
2026-06-20 12:05:00,6.159,6.176,6.151,6.167,8963.33
2026-06-20 12:10:00,6.168,6.176,6.163,6.17,9904.77
2026-06-20 12:15:00,6.17,6.183,6.167,6.173,8730.39
2026-06-20 12:20:00,6.174,6.175,6.168,6.175,16907.45
2026-06-20 12:25:00,6.176,6.187,6.173,6.179,6127.47
2026-06-20 12:30:00,6.18,6.188,6.178,6.183,17687.82
2026-06-20 12:35:00,6.182,6.182,6.162,6.164,7970.18
2026-06-20 12:40:00,6.164,6.177,6.164,6.173,4623.4
2026-06-20 12:45:00,6.172,6.172,6.159,6.159,6843.85
2026-06-20 12:50:00,6.159,6.163,6.141,6.159,23094.13
2026-06-20 12:55:00,6.16,6.172,6.156,6.168,11197.9
2026-06-20 13:00:00,6.167,6.172,6.158,6.168,8588.65
2026-06-20 13:05:00,6.168,6.174,6.165,6.17,3210.26
2026-06-20 13:10:00,6.169,6.17,6.155,6.156,21495.45
2026-06-20 13:15:00,6.156,6.166,6.15,6.156,11225.15
2026-06-20 13:20:00,6.155,6.155,6.119,6.129,22576.8
2026-06-20 13:25:00,6.129,6.137,6.042,6.05,558649.97
2026-06-20 13:30:00,6.049,6.1,6.027,6.094,273875.02
2026-06-20 13:35:00,6.094,6.132,6.089,6.119,21800.87
2026-06-20 13:40:00,6.119,6.131,6.119,6.127,9524.39
2026-06-20 13:45:00,6.126,6.139,6.119,6.134,11591.97
2026-06-20 13:50:00,6.134,6.144,6.128,6.129,10813.49
2026-06-20 13:55:00,6.128,6.13,6.122,6.122,9278.35
2026-06-20 14:00:00,6.121,6.121,6.09,6.09,35988.3
2026-06-20 14:05:00,6.09,6.09,6.062,6.066,16564.15
2026-06-20 14:10:00,6.067,6.07,6.054,6.067,26921.61
2026-06-20 14:15:00,6.067,6.09,6.065,6.09,12842.41
2026-06-20 14:20:00,6.09,6.094,6.079,6.087,10546.46
2026-06-20 14:25:00,6.087,6.089,6.074,6.077,37355.22
2026-06-20 14:30:00,6.078,6.091,6.073,6.08,27010.43
2026-06-20 14:35:00,6.079,6.091,6.059,6.074,31418.8
2026-06-20 14:40:00,6.075,6.082,6.047,6.08,51651.1
2026-06-20 14:45:00,6.079,6.161,6.069,6.134,75266.51
2026-06-20 14:50:00,6.135,6.137,6.105,6.108,40419.47
2026-06-20 14:55:00,6.108,6.112,6.095,6.107,28775.03
2026-06-20 15:00:00,6.107,6.123,6.095,6.12,23357.69
2026-06-20 15:05:00,6.119,6.119,6.09,6.098,20510.55
2026-06-20 15:10:00,6.099,6.109,6.093,6.104,11601.11
2026-06-20 15:15:00,6.104,6.162,6.1,6.143,58039.42
2026-06-20 15:20:00,6.142,6.162,6.135,6.159,14961.29
2026-06-20 15:25:00,6.158,6.158,6.145,6.146,12110.64
2026-06-20 15:30:00,6.146,6.153,6.132,6.135,6507.54
2026-06-20 15:35:00,6.136,6.14,6.125,6.137,1956.11
2026-06-20 15:40:00,6.137,6.137,6.118,6.127,5120.8
2026-06-20 15:45:00,6.127,6.151,6.127,6.143,8613.61
2026-06-20 15:50:00,6.144,6.146,6.138,6.139,2664.03
2026-06-20 15:55:00,6.139,6.153,6.139,6.15,2959.64
2026-06-20 16:00:00,6.151,6.152,6.134,6.14,4510.11
2026-06-20 16:05:00,6.14,6.141,6.131,6.139,2708.34
2026-06-20 16:10:00,6.14,6.143,6.124,6.135,6145.88
2026-06-20 16:15:00,6.136,6.15,6.136,6.142,3796.68
2026-06-20 16:20:00,6.142,6.142,6.121,6.128,3541.07
2026-06-20 16:25:00,6.129,6.129,6.11,6.113,6234.83
2026-06-20 16:30:00,6.112,6.119,6.099,6.119,8343.05
2026-06-20 16:35:00,6.119,6.136,6.114,6.136,3326.26
2026-06-20 16:40:00,6.136,6.136,6.13,6.132,2972.65
2026-06-20 16:45:00,6.131,6.148,6.122,6.147,7149.96
2026-06-20 16:50:00,6.146,6.148,6.138,6.139,2743.14
2026-06-20 16:55:00,6.138,6.144,6.138,6.142,3006.21
2026-06-20 17:00:00,6.142,6.145,6.134,6.137,4852.68
2026-06-20 17:05:00,6.136,6.136,6.117,6.117,3480.67
2026-06-20 17:10:00,6.118,6.119,6.115,6.117,5235.69
2026-06-20 17:15:00,6.116,6.116,6.088,6.106,6211.34
2026-06-20 17:20:00,6.106,6.106,6.095,6.095,3981.11
2026-06-20 17:25:00,6.095,6.106,6.091,6.106,2030.89
2026-06-20 17:30:00,6.105,6.118,6.095,6.111,9507.55
2026-06-20 17:35:00,6.111,6.111,6.068,6.087,24129.98
2026-06-20 17:40:00,6.087,6.105,6.084,6.098,4755.15
2026-06-20 17:45:00,6.099,6.103,6.092,6.098,3436.24
2026-06-20 17:50:00,6.098,6.105,6.098,6.103,2088.79
2026-06-20 17:55:00,6.103,6.115,6.103,6.109,5643.24
2026-06-20 18:00:00,6.109,6.127,6.109,6.116,6459.37
2026-06-20 18:05:00,6.116,6.117,6.101,6.104,8670.43
2026-06-20 18:10:00,6.104,6.113,6.104,6.108,3676.22
2026-06-20 18:15:00,6.109,6.121,6.109,6.12,8383.14
2026-06-20 18:20:00,6.12,6.123,6.115,6.117,6908.05
2026-06-20 18:25:00,6.117,6.123,6.114,6.122,9430.41
2026-06-20 18:30:00,6.121,6.125,6.117,6.12,2506.28
2026-06-20 18:35:00,6.119,6.122,6.106,6.109,12065.1
2026-06-20 18:40:00,6.11,6.11,6.09,6.098,21243.32
2026-06-20 18:45:00,6.097,6.106,6.097,6.101,9692.88
2026-06-20 18:50:00,6.101,6.102,6.087,6.092,7570.89
2026-06-20 18:55:00,6.092,6.093,6.085,6.09,3703.71
2026-06-20 19:00:00,6.089,6.097,6.086,6.093,6642.06
2026-06-20 19:05:00,6.092,6.092,6.081,6.092,31853.71
2026-06-20 19:10:00,6.093,6.099,6.087,6.089,5654.59
2026-06-20 19:15:00,6.09,6.093,6.081,6.086,3423.12
2026-06-20 19:20:00,6.086,6.09,6.081,6.087,9848.33
2026-06-20 19:25:00,6.086,6.086,6.069,6.075,7656.36
2026-06-20 19:30:00,6.075,6.103,6.074,6.094,5770.2
2026-06-20 19:35:00,6.094,6.103,6.094,6.103,2432.18
2026-06-20 19:40:00,6.103,6.117,6.1,6.112,9758.57
2026-06-20 19:45:00,6.113,6.114,6.106,6.108,1028.42
2026-06-20 19:50:00,6.109,6.118,6.108,6.112,4404.58
2026-06-20 19:55:00,6.111,6.121,6.11,6.116,7727.45
2026-06-20 20:00:00,6.117,6.126,6.111,6.112,18531.75
2026-06-20 20:05:00,6.113,6.133,6.113,6.125,11910.43
2026-06-20 20:10:00,6.125,6.14,6.119,6.132,15785.13
2026-06-20 20:15:00,6.132,6.132,6.121,6.127,6360.67
2026-06-20 20:20:00,6.127,6.128,6.122,6.126,2056.42
2026-06-20 20:25:00,6.127,6.132,6.122,6.126,9847.93
2026-06-20 20:30:00,6.126,6.126,6.106,6.118,12318.13
2026-06-20 20:35:00,6.118,6.124,6.117,6.122,3306.49
2026-06-20 20:40:00,6.123,6.129,6.118,6.128,3643.77
2026-06-20 20:45:00,6.127,6.141,6.126,6.136,8453.8
2026-06-20 20:50:00,6.135,6.148,6.133,6.139,14643.53
2026-06-20 20:55:00,6.14,6.146,6.136,6.14,5140.57
2026-06-20 21:00:00,6.139,6.147,6.136,6.138,6120.55
2026-06-20 21:05:00,6.138,6.142,6.137,6.142,2122.43
2026-06-20 21:10:00,6.141,6.204,6.141,6.19,58133.25
2026-06-20 21:15:00,6.189,6.191,6.182,6.189,14553.64
2026-06-20 21:20:00,6.188,6.189,6.176,6.181,12162.86
2026-06-20 21:25:00,6.18,6.185,6.177,6.18,41195.48
2026-06-20 21:30:00,6.179,6.184,6.179,6.183,12157.58
2026-06-20 21:35:00,6.184,6.185,6.179,6.179,16609.99
2026-06-20 21:40:00,6.179,6.184,6.169,6.179,11509.59
2026-06-20 21:45:00,6.178,6.185,6.156,6.184,17926.54
2026-06-20 21:50:00,6.185,6.187,6.176,6.18,12245.87
2026-06-20 21:55:00,6.18,6.192,6.172,6.182,12247.91
2026-06-20 22:00:00,6.182,6.188,6.166,6.184,11272.06
2026-06-20 22:05:00,6.183,6.195,6.178,6.187,13541.32
2026-06-20 22:10:00,6.186,6.227,6.179,6.219,32123.77
2026-06-20 22:15:00,6.218,6.218,6.196,6.199,14453.55
2026-06-20 22:20:00,6.199,6.217,6.191,6.209,27321.62
2026-06-20 22:25:00,6.209,6.241,6.199,6.228,51722.04
2026-06-20 22:30:00,6.228,6.256,6.223,6.244,53432.17
2026-06-20 22:35:00,6.243,6.247,6.227,6.233,14941.88
2026-06-20 22:40:00,6.233,6.249,6.227,6.243,16167.19
2026-06-20 22:45:00,6.243,6.243,6.228,6.237,3635.19
2026-06-20 22:50:00,6.237,6.255,6.23,6.241,24746.47
2026-06-20 22:55:00,6.241,6.251,6.238,6.242,8051.58
2026-06-20 23:00:00,6.241,6.244,6.232,6.238,8991.92
2026-06-20 23:05:00,6.238,6.241,6.233,6.241,8092.9
2026-06-20 23:10:00,6.241,6.242,6.228,6.239,5032.63
2026-06-20 23:15:00,6.239,6.255,6.239,6.249,7425.18
2026-06-20 23:20:00,6.249,6.25,6.238,6.243,8671.04
2026-06-20 23:25:00,6.243,6.26,6.241,6.249,19938.27
2026-06-20 23:30:00,6.25,6.259,6.238,6.243,8747.05
2026-06-20 23:35:00,6.243,6.257,6.243,6.256,10990.65
2026-06-20 23:40:00,6.255,6.263,6.25,6.251,10518.17
2026-06-20 23:45:00,6.25,6.25,6.229,6.239,12020.47
2026-06-20 23:50:00,6.239,6.245,6.231,6.244,5358.33
2026-06-20 23:55:00,6.244,6.248,6.234,6.239,6064.44
2026-06-21 00:00:00,6.24,6.251,6.233,6.241,12801.87
2026-06-21 00:05:00,6.242,6.257,6.241,6.252,17539.72
2026-06-21 00:10:00,6.252,6.256,6.244,6.253,20395.86
2026-06-21 00:15:00,6.253,6.281,6.251,6.277,29525.45
2026-06-21 00:20:00,6.277,6.292,6.258,6.261,40435.76
2026-06-21 00:25:00,6.261,6.265,6.25,6.255,15242.23
2026-06-21 00:30:00,6.256,6.272,6.256,6.264,25426.64
2026-06-21 00:35:00,6.264,6.281,6.26,6.273,14653.8
2026-06-21 00:40:00,6.272,6.272,6.253,6.259,5360.5
2026-06-21 00:45:00,6.259,6.262,6.247,6.262,11519.39
2026-06-21 00:50:00,6.261,6.264,6.25,6.254,11934.88
2026-06-21 00:55:00,6.254,6.267,6.244,6.266,11809.18
2026-06-21 01:00:00,6.266,6.273,6.252,6.264,25042.71
2026-06-21 01:05:00,6.264,6.269,6.261,6.269,5655.09
2026-06-21 01:10:00,6.269,6.27,6.259,6.264,7364.82
2026-06-21 01:15:00,6.265,6.267,6.258,6.265,1958.05
2026-06-21 01:20:00,6.264,6.264,6.251,6.254,3898.31
2026-06-21 01:25:00,6.255,6.256,6.235,6.236,10740.65
2026-06-21 01:30:00,6.236,6.251,6.228,6.249,19257.33
2026-06-21 01:35:00,6.25,6.267,6.247,6.249,17089.3
2026-06-21 01:40:00,6.249,6.262,6.248,6.26,4468.05
2026-06-21 01:45:00,6.26,6.269,6.254,6.254,14970.02
2026-06-21 01:50:00,6.254,6.259,6.254,6.257,2805.71
2026-06-21 01:55:00,6.258,6.263,6.248,6.248,3366.51
2026-06-21 02:00:00,6.248,6.248,6.239,6.246,7614.71
2026-06-21 02:05:00,6.247,6.248,6.231,6.237,2818.64
2026-06-21 02:10:00,6.237,6.241,6.231,6.237,2652.12
2026-06-21 02:15:00,6.238,6.239,6.223,6.236,4344.09
2026-06-21 02:20:00,6.236,6.236,6.228,6.231,1918.02
2026-06-21 02:25:00,6.23,6.232,6.228,6.23,4892.16
2026-06-21 02:30:00,6.229,6.229,6.216,6.223,6151.35
2026-06-21 02:35:00,6.224,6.236,6.223,6.23,5979.85
2026-06-21 02:40:00,6.229,6.234,6.225,6.23,2501.71
