datetime,open,high,low,close,volume
2026-06-01 05:00:00,698.01,698.44,694.3,695.78,9020.714
2026-06-01 06:00:00,695.78,696.26,691.09,693.39,21323.943
2026-06-01 07:00:00,693.4,694.25,684.72,686.08,24125.391
2026-06-01 08:00:00,686.08,689.78,685.25,689.61,10912.673
2026-06-01 09:00:00,689.61,729.57,688.58,711.01,87825.457
2026-06-01 10:00:00,711.01,714.53,695.05,702.27,49420.42
2026-06-01 11:00:00,702.28,708.29,695.09,697.14,20847.708
2026-06-01 12:00:00,697.14,698.38,686.16,692.7,23548.991
2026-06-01 13:00:00,692.71,693.19,679.3,686.7,31962.241
2026-06-01 14:00:00,686.71,686.74,674.51,678.58,23904.407
2026-06-01 15:00:00,678.59,685.5,677.23,677.58,15760.334
2026-06-01 16:00:00,677.59,685.93,674.07,684.66,14820.431
2026-06-01 17:00:00,684.66,689.39,683.6,687.69,14717.025
2026-06-01 18:00:00,687.69,695.68,686.48,691.28,14434.614
2026-06-01 19:00:00,691.29,696.33,690.68,696.15,6111.513
2026-06-01 20:00:00,696.14,701.73,694.82,695.81,12304.099
2026-06-01 21:00:00,695.82,695.92,689.1,690.09,12453.69
2026-06-01 22:00:00,690.09,694.5,688.42,693.52,8349.245
2026-06-01 23:00:00,693.53,695.94,692.15,693.1,3075.528
2026-06-02 00:00:00,693.1,693.97,690.01,690.47,5964.701
2026-06-02 01:00:00,690.48,692.43,684.5,684.81,7434.745
2026-06-02 02:00:00,684.82,693.3,681.18,691.12,17230.742
2026-06-02 03:00:00,691.13,695.51,690.11,693.68,7352.91
2026-06-02 04:00:00,693.68,694.24,686.0,686.61,9613.466
2026-06-02 05:00:00,686.61,689.08,683.16,683.74,6482.114
2026-06-02 06:00:00,683.74,685.39,680.47,683.3,8813.342
2026-06-02 07:00:00,683.31,686.39,680.54,681.84,8335.776
2026-06-02 08:00:00,681.84,685.57,680.75,681.81,6129.649
2026-06-02 09:00:00,681.82,682.34,676.09,677.77,15926.033
2026-06-02 10:00:00,677.77,681.15,675.58,680.11,8478.129
2026-06-02 11:00:00,680.12,680.18,676.73,678.13,6630.375
2026-06-02 12:00:00,678.13,680.21,675.05,676.12,10507.614
2026-06-02 13:00:00,676.12,676.97,671.72,674.72,16530.859
2026-06-02 14:00:00,674.73,677.5,666.67,673.35,27174.848
2026-06-02 15:00:00,673.36,673.51,658.0,663.13,38112.735
2026-06-02 16:00:00,663.14,671.5,660.5,663.95,14395.13
2026-06-02 17:00:00,663.95,667.43,663.38,666.38,10879.126
2026-06-02 18:00:00,666.38,667.59,659.15,659.76,13136.112
2026-06-02 19:00:00,659.76,662.23,652.36,660.31,12545.936
2026-06-02 20:00:00,660.31,662.88,656.19,661.6,6024.03
2026-06-02 21:00:00,661.61,663.45,658.88,659.81,9403.993
2026-06-02 22:00:00,659.8,659.8,642.47,648.39,24461.097
2026-06-02 23:00:00,648.39,651.86,645.26,650.69,18573.878
2026-06-03 00:00:00,650.7,657.51,650.22,654.63,11520.21
2026-06-03 01:00:00,654.63,655.0,646.61,649.97,20527.582
2026-06-03 02:00:00,649.98,650.49,644.04,644.77,14952.097
2026-06-03 03:00:00,644.78,646.71,630.35,633.99,29370.222
2026-06-03 04:00:00,633.97,640.11,632.81,636.66,18020.121
2026-06-03 05:00:00,636.67,646.3,636.02,645.99,20929.44
2026-06-03 06:00:00,646.0,646.78,640.34,640.63,7045.676
2026-06-03 07:00:00,640.64,645.34,640.11,644.1,6121.829
2026-06-03 08:00:00,644.1,645.9,640.91,644.7,5398.884
2026-06-03 09:00:00,644.7,646.06,638.81,641.84,7009.915
2026-06-03 10:00:00,641.84,646.01,640.9,641.7,5371.914
2026-06-03 11:00:00,641.7,645.0,637.04,637.38,9225.307
2026-06-03 12:00:00,637.38,637.53,633.12,635.43,13516.348
2026-06-03 13:00:00,635.43,637.24,630.05,633.11,12653.366
2026-06-03 14:00:00,633.11,637.64,630.18,637.02,8149.294
2026-06-03 15:00:00,637.04,639.31,632.85,632.99,7974.219
2026-06-03 16:00:00,633.0,633.6,620.0,628.25,26014.288
2026-06-03 17:00:00,628.26,629.33,623.8,627.16,8781.307
2026-06-03 18:00:00,627.16,629.0,625.23,628.13,3931.318
2026-06-03 19:00:00,628.13,628.98,621.74,622.77,7868.897
2026-06-03 20:00:00,622.77,625.78,616.21,619.8,16410.68
2026-06-03 21:00:00,619.8,629.63,618.88,629.43,14405.889
2026-06-03 22:00:00,629.44,630.0,625.83,627.43,16222.802
2026-06-03 23:00:00,627.43,627.94,620.32,620.63,9491.838
2026-06-04 00:00:00,620.63,624.57,612.93,616.23,18380.52
2026-06-04 01:00:00,616.23,617.72,599.14,602.49,47294.911
2026-06-04 02:00:00,602.5,609.99,590.46,608.05,48303.274
2026-06-04 03:00:00,608.05,621.4,608.04,618.99,18063.028
2026-06-04 04:00:00,618.99,621.36,613.87,614.63,10211.687
2026-06-04 05:00:00,614.63,614.63,600.61,604.23,73980.682
2026-06-04 06:00:00,604.24,610.98,603.49,605.4,11243.987
2026-06-04 07:00:00,605.4,605.84,599.22,600.2,19246.776
2026-06-04 08:00:00,600.2,603.7,596.45,602.28,10079.18
