datetime,open,high,low,close,volume
2026-06-18 13:15:00,1.14704,1.14721,1.14644,1.14676,986
2026-06-18 13:20:00,1.14676,1.14676,1.14631,1.14648,858
2026-06-18 13:25:00,1.1465,1.14715,1.1465,1.14714,1052
2026-06-18 13:30:00,1.14714,1.14784,1.14708,1.14778,1381
2026-06-18 13:35:00,1.14776,1.14842,1.14772,1.14829,1158
2026-06-18 13:40:00,1.14827,1.14828,1.14754,1.14762,1099
2026-06-18 13:45:00,1.1476,1.14773,1.14728,1.14756,1103
2026-06-18 13:50:00,1.14756,1.14762,1.14716,1.1472,1032
2026-06-18 13:55:00,1.1472,1.14744,1.14709,1.14722,835
2026-06-18 14:00:00,1.14722,1.14739,1.147,1.14719,1152
2026-06-18 14:05:00,1.1472,1.14743,1.14708,1.1472,996
2026-06-18 14:10:00,1.1472,1.14724,1.14678,1.14722,1041
2026-06-18 14:15:00,1.14722,1.14742,1.14697,1.14742,825
2026-06-18 14:20:00,1.14741,1.1477,1.14728,1.1477,933
2026-06-18 14:25:00,1.14769,1.14775,1.14735,1.14746,947
2026-06-18 14:30:00,1.14746,1.14754,1.1472,1.14746,982
2026-06-18 14:35:00,1.14746,1.14755,1.14696,1.14724,938
2026-06-18 14:40:00,1.14724,1.14726,1.14699,1.14709,666
2026-06-18 14:45:00,1.14708,1.14767,1.14708,1.1476,843
2026-06-18 14:50:00,1.1476,1.14815,1.14756,1.14815,838
2026-06-18 14:55:00,1.14812,1.14875,1.14792,1.14863,981
2026-06-18 15:00:00,1.14864,1.14876,1.14805,1.14811,975
2026-06-18 15:05:00,1.14812,1.14822,1.14788,1.14799,931
2026-06-18 15:10:00,1.14798,1.14828,1.14782,1.14783,787
2026-06-18 15:15:00,1.14784,1.14807,1.14776,1.14792,599
2026-06-18 15:20:00,1.14792,1.14813,1.14771,1.14774,481
2026-06-18 15:25:00,1.14774,1.14784,1.14758,1.14778,671
2026-06-18 15:30:00,1.14778,1.14783,1.14742,1.14766,859
2026-06-18 15:35:00,1.14766,1.14784,1.1472,1.1472,911
