datetime,open,high,low,close,volume
2026-02-20 04:00:00,83.0,83.88,82.4,83.42,39121.3774067
2026-02-20 08:00:00,83.42,84.82,83.3,83.55,73917.28023198
2026-02-20 12:00:00,83.56,84.72,81.75,84.38,155451.04271414
2026-02-20 16:00:00,84.37,85.47,82.76,84.74,148717.54005182
2026-02-20 20:00:00,84.74,85.19,84.13,84.62,18276.8194176
2026-02-21 00:00:00,84.65,84.97,84.21,84.32,51198.00609504
2026-02-21 04:00:00,84.33,84.77,83.95,84.22,10677.51367336
2026-02-21 08:00:00,84.22,85.62,84.22,85.35,27943.31096436
2026-02-21 12:00:00,85.38,86.7,85.0,86.6,59492.08148073
2026-02-21 16:00:00,86.57,86.68,85.8,86.2,53580.72138607
2026-02-21 20:00:00,86.2,86.2,85.15,85.2,25172.87081249
2026-02-22 00:00:00,85.16,85.54,84.75,85.06,34878.05179155
2026-02-22 04:00:00,85.06,85.52,84.8,85.23,32170.1390547
2026-02-22 08:00:00,85.23,85.42,84.86,85.24,15061.11318874
2026-02-22 12:00:00,85.24,85.28,83.0,83.47,52690.92908198
2026-02-22 16:00:00,83.48,83.58,82.77,83.28,22870.57052429
2026-02-22 20:00:00,83.28,83.66,82.45,82.73,35298.71378269
2026-02-23 00:00:00,82.7,82.78,77.3,77.65,141395.39478878
2026-02-23 04:00:00,77.65,79.64,77.16,79.39,47305.15095984
2026-02-23 08:00:00,79.38,80.63,78.55,80.05,48347.05230576
2026-02-23 12:00:00,80.05,81.1,79.24,79.42,63767.6569443
2026-02-23 16:00:00,79.39,79.78,77.28,78.28,69334.10838938
2026-02-23 20:00:00,78.29,78.89,77.63,77.86,276816.71616144
2026-02-24 00:00:00,77.88,78.48,75.72,76.82,108981.97644311
2026-02-24 04:00:00,76.87,77.29,76.11,76.82,35618.77507083
2026-02-24 08:00:00,76.82,77.15,76.0,76.76,37578.74784313
2026-02-24 12:00:00,76.77,77.45,75.64,77.29,83792.46226491
2026-02-24 16:00:00,77.31,78.5,77.25,78.38,72811.97284563
2026-02-24 20:00:00,78.39,79.6,78.16,78.96,38762.95213353
2026-02-25 00:00:00,79.02,82.9,78.72,81.74,107316.5086254
2026-02-25 04:00:00,81.76,82.42,80.97,82.19,69129.29017557
2026-02-25 08:00:00,82.19,83.4,81.95,83.34,41055.83928795
2026-02-25 12:00:00,83.38,86.43,82.92,86.01,117621.05084284
2026-02-25 16:00:00,85.99,89.65,85.99,89.44,102079.87661156
2026-02-25 20:00:00,89.47,92.05,87.11,88.05,121814.77994087
2026-02-26 00:00:00,88.06,89.23,87.58,87.96,42335.60757142
2026-02-26 04:00:00,87.94,89.06,87.25,87.25,33705.21256954
2026-02-26 08:00:00,87.26,88.67,86.63,86.78,50610.37631534
2026-02-26 12:00:00,86.82,88.2,85.31,86.57,70621.04918242
2026-02-26 16:00:00,86.57,86.73,84.36,86.49,113010.55694481
2026-02-26 20:00:00,86.48,86.84,85.77,85.89,35496.96006116
2026-02-27 00:00:00,85.85,87.8,85.22,87.65,61081.58872735
2026-02-27 04:00:00,87.63,88.28,86.82,87.32,28026.71216436
2026-02-27 08:00:00,87.31,87.9,83.37,83.62,46297.96317521
2026-02-27 12:00:00,83.6,83.75,82.0,82.72,112816.31062383
2026-02-27 16:00:00,82.71,82.71,81.14,81.54,139947.11423573
2026-02-27 20:00:00,81.57,82.07,80.32,81.87,46599.6692565
2026-02-28 00:00:00,81.86,82.24,81.57,81.71,13829.95336406
2026-02-28 04:00:00,81.74,81.89,77.16,78.78,117307.1018313
2026-02-28 08:00:00,78.71,79.57,77.77,78.78,55869.04783026
2026-02-28 12:00:00,78.8,81.5,78.65,80.93,96888.82327476
2026-02-28 16:00:00,80.93,82.87,80.53,82.23,69454.432695
2026-02-28 20:00:00,82.22,85.67,82.01,84.38,90630.84352367
2026-03-01 00:00:00,84.36,88.86,84.29,88.02,85185.58123809
2026-03-01 04:00:00,88.02,88.22,86.18,86.63,68314.75426118
2026-03-01 08:00:00,86.66,86.79,84.72,85.18,42515.61904667
2026-03-01 12:00:00,85.19,86.99,84.55,85.65,48968.46813389
