datetime,open,high,low,close,volume
2026-06-19 12:45:00,68.19,68.19,67.85,67.95,1250.70554967
2026-06-19 12:50:00,67.95,68.62,67.95,68.5,477.67535156
2026-06-19 12:55:00,68.48,68.59,68.46,68.56,1005.07601314
2026-06-19 13:00:00,68.56,68.62,68.41,68.57,903.42956019
2026-06-19 13:05:00,68.59,68.72,68.59,68.61,1170.02523891
2026-06-19 13:10:00,68.56,68.58,68.52,68.53,88.58988287
2026-06-19 13:15:00,68.52,68.55,68.34,68.42,644.67254532
2026-06-19 13:20:00,68.42,68.5,68.37,68.45,55.29717294
2026-06-19 13:25:00,68.42,68.5,68.42,68.47,142.81681248
2026-06-19 13:30:00,68.48,68.57,68.46,68.53,192.24013256
2026-06-19 13:35:00,68.55,68.71,68.52,68.7,434.81477505
2026-06-19 13:40:00,68.72,68.99,68.72,68.97,3241.30218179
2026-06-19 13:45:00,68.97,69.48,68.97,69.34,5158.24289962
2026-06-19 13:50:00,69.3,69.31,69.16,69.25,2823.3914884
2026-06-19 13:55:00,69.25,69.34,69.19,69.23,252.59459236
2026-06-19 14:00:00,69.21,69.33,69.12,69.26,141.15873617
2026-06-19 14:05:00,69.26,69.26,69.0,69.06,275.18311679
2026-06-19 14:10:00,69.07,69.08,68.82,68.93,5169.805712
2026-06-19 14:15:00,68.93,68.95,68.84,68.9,825.17785648
2026-06-19 14:20:00,68.9,68.94,68.79,68.94,117.5432812
2026-06-19 14:25:00,68.94,69.27,68.94,69.22,5657.13165667
2026-06-19 14:30:00,69.26,69.27,69.06,69.18,677.99454458
2026-06-19 14:35:00,69.18,69.4,69.16,69.32,848.47106172
2026-06-19 14:40:00,69.31,69.39,69.28,69.3,88.40976856
2026-06-19 14:45:00,69.29,69.39,69.25,69.31,1701.29469302
2026-06-19 14:50:00,69.34,69.36,69.17,69.23,2040.69202631
2026-06-19 14:55:00,69.24,69.24,69.09,69.09,407.24197874
2026-06-19 15:00:00,69.07,69.08,68.91,68.93,492.30108494
2026-06-19 15:05:00,68.96,69.13,68.96,69.09,240.92174716
2026-06-19 15:10:00,69.09,69.14,69.07,69.12,348.62956677
2026-06-19 15:15:00,69.12,69.19,69.09,69.09,718.66713573
2026-06-19 15:20:00,69.07,69.07,68.88,68.94,570.90016846
2026-06-19 15:25:00,68.9,68.99,68.88,68.94,746.62670327
2026-06-19 15:30:00,68.95,69.34,68.95,69.34,1664.00922093
2026-06-19 15:35:00,69.35,69.35,69.2,69.23,606.13830618
2026-06-19 15:40:00,69.21,69.48,69.21,69.41,470.46661545
2026-06-19 15:45:00,69.39,69.42,69.24,69.25,493.56037631
2026-06-19 15:50:00,69.25,69.31,69.19,69.27,3305.91482779
2026-06-19 15:55:00,69.29,69.37,69.24,69.27,10177.18820375
2026-06-19 16:00:00,69.28,69.33,69.2,69.26,646.66894306
2026-06-19 16:05:00,69.27,69.38,69.18,69.18,485.41260609
2026-06-19 16:10:00,69.19,69.49,69.19,69.48,3137.6762569
2026-06-19 16:15:00,69.48,69.48,69.35,69.41,2951.24957138
2026-06-19 16:20:00,69.39,69.46,69.37,69.43,1815.33105973
2026-06-19 16:25:00,69.42,69.43,69.36,69.37,336.4297909
2026-06-19 16:30:00,69.35,69.38,69.22,69.27,916.97182982
2026-06-19 16:35:00,69.28,69.3,69.25,69.26,66.05992024
2026-06-19 16:40:00,69.24,69.24,69.12,69.2,1753.19529549
2026-06-19 16:45:00,69.19,69.19,69.06,69.06,1081.13179275
2026-06-19 16:50:00,69.06,69.06,68.82,68.88,10841.8222076
2026-06-19 16:55:00,68.87,68.87,68.63,68.63,5799.16660426
2026-06-19 17:00:00,68.65,68.79,68.61,68.62,1707.56901019
2026-06-19 17:05:00,68.65,68.81,68.58,68.71,801.20615649
2026-06-19 17:10:00,68.69,68.85,68.68,68.82,204.84957549
2026-06-19 17:15:00,68.83,69.16,68.82,69.11,742.23761803
2026-06-19 17:20:00,69.11,69.16,68.97,68.98,198.74943441
2026-06-19 17:25:00,68.98,69.01,68.85,68.9,11718.53198879
2026-06-19 17:30:00,68.91,69.18,68.91,69.18,178.45286987
2026-06-19 17:35:00,69.17,69.28,69.12,69.25,1628.36075606
2026-06-19 17:40:00,69.27,69.38,69.27,69.32,1533.85424382
2026-06-19 17:45:00,69.31,69.46,69.23,69.4,270.42190717
2026-06-19 17:50:00,69.38,69.39,69.2,69.28,3344.09099126
2026-06-19 17:55:00,69.28,69.31,69.23,69.26,671.76180543
