entry_time,exit_time,direction,setup,choch_type,entry_price,sl_price,tp1_price,tp2_price,tp1_source,tp2_source,exit_price,exit_reason,tp1_hit,pnl_r,pnl_pct,session,liquidity_sweep
2024-07-26 23:55:00+00:00,2024-08-01 04:30:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6041,0.6041,0.653321,,fallback_2R,,0.6041,BE,True,0.0,0.0,other,False
2024-07-25 23:25:00+00:00,2024-08-01 04:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5992,0.5992,0.63832,,fallback_2R,,0.5992,BE,True,0.0,0.0,other,False
2024-07-25 23:55:00+00:00,2024-08-01 04:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6001,0.6001,0.64132,,fallback_2R,,0.6001,BE,True,0.0,0.0,other,False
2024-07-26 16:45:00+00:00,2024-08-01 04:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5972,0.5972,0.632619,,fallback_2R,,0.5972,BE,True,0.0,0.0,other,False
2024-07-26 18:10:00+00:00,2024-08-01 04:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5972,0.5972,0.632619,,fallback_2R,,0.5972,BE,True,0.0,0.0,other,False
2024-07-26 21:15:00+00:00,2024-08-01 04:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6005,0.6005,0.64222,,fallback_2R,,0.6005,BE,True,0.0,0.0,other,False
2024-07-26 16:25:00+00:00,2024-08-01 14:55:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5959,0.5959,0.628419,,fallback_2R,,0.5959,BE,True,0.0,0.0,other,False
2024-07-26 15:45:00+00:00,2024-08-01 15:00:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5929,0.5929,0.619419,,fallback_2R,,0.5929,BE,True,0.0,0.0,ny,False
2024-08-01 06:35:00+00:00,2024-08-01 15:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6107,0.583239,0.665622,,fallback_2R,,0.583239,SL,False,-1.0,-1.0,other,False
2024-08-01 08:10:00+00:00,2024-08-01 15:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6107,0.583239,0.665922,,fallback_2R,,0.583239,SL,False,-1.0,-1.0,london,False
2024-08-01 09:10:00+00:00,2024-08-01 15:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6094,0.583239,0.661422,,fallback_2R,,0.583239,SL,False,-1.0,-1.0,london,False
2024-08-01 11:45:00+00:00,2024-08-01 15:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6105,0.583239,0.665022,,fallback_2R,,0.583239,SL,False,-1.0,-1.0,other,False
2024-08-25 05:15:00+00:00,2024-08-26 12:30:00+00:00,bullish,continuation,CHoCH_internal_bull,0.608,0.590839,0.6434,,EQH,,0.590839,SL,False,-1.0,-1.0,other,False
